year,ID,r_c,r_r,r_poi,FAR
9,14116,0.7,0.2,0.1,2.1
9,15344,0.7,0.2,0.1,2.0
9,14721,0.5,0.2,0.3,1.9
9,14725,0.6,0.1,0.3,2.2
9,14774,0.6,0.3,0.1,2.1
9,14455,0.7,0.2,0.1,1.9
10,14124,0.6,0.3,0.1,2.0
10,14711,0.7,0.2,0.1,2.1
10,14040,0.6,0.3,0.1,2.0
10,14761,0.6,0.3,0.1,2.2
10,14231,0.6,0.3,0.1,2.2
10,14408,0.7,0.2,0.1,2.2
10,14295,0.7,0.2,0.1,1.8
10,14886,0.6,0.2,0.2,1.9
10,14641,0.6,0.2,0.2,2.2
10,15177,0.6,0.2,0.2,2.2
10,14827,0.6,0.2,0.2,2.2
10,12759,0.7,0.2,0.1,2.2
10,14465,0.7,0.2,0.1,2.2
10,14093,0.6,0.2,0.2,2.1
10,14120,0.6,0.2,0.2,2.2
10,15252,0.6,0.3,0.1,2.2
10,14057,0.6,0.2,0.2,2.1
10,15535,0.7,0.2,0.1,2.2
10,14995,0.5,0.2,0.3,2.2
10,9335,0.6,0.2,0.2,2.0
10,15127,0.6,0.2,0.2,1.9
10,14170,0.5,0.2,0.3,2.2
10,14460,0.6,0.3,0.1,1.8
10,14521,0.7,0.2,0.1,2.2
10,15016,0.7,0.2,0.1,2.1
10,14012,0.7,0.2,0.1,2.0
10,14848,0.5,0.2,0.3,1.9
10,14646,0.6,0.1,0.3,2.2
10,15226,0.6,0.3,0.1,2.1
10,15550,0.7,0.2,0.1,1.9
11,406,0.6,0.3,0.1,2.0
11,14697,0.7,0.2,0.1,2.1
11,15547,0.6,0.3,0.1,2.0
11,14397,0.6,0.3,0.1,2.2
11,14509,0.6,0.3,0.1,2.2
11,14454,0.7,0.2,0.1,2.2
11,892,0.7,0.2,0.1,1.8
11,14495,0.6,0.2,0.2,1.9
11,14094,0.6,0.2,0.2,2.2
11,14488,0.6,0.2,0.2,2.2
11,13763,0.6,0.2,0.2,2.2
11,15015,0.7,0.2,0.1,2.2
11,14552,0.7,0.2,0.1,2.2
11,14134,0.6,0.2,0.2,2.1
11,14051,0.6,0.2,0.2,2.2
11,14632,0.6,0.3,0.1,2.2
11,14074,0.6,0.2,0.2,2.1
11,14350,0.7,0.2,0.1,2.2
11,14837,0.5,0.2,0.3,2.2
11,14643,0.6,0.2,0.2,2.0
11,14566,0.6,0.2,0.2,1.9
11,15379,0.5,0.2,0.3,2.2
