row,column,r_b,pop,POI,price_c,price_r,AREA
48,3,0.7,2286.13861386,14.0,34411.5,0.0,0.0
48,4,0.7,14953.0,511.0,25379.8181818,41.0656328967,59261.5960402266
48,5,0.7,15371.0,373.0,24503.2727273,33.1854650767,0.0
48,6,0.7,3973.73737374,40.0,24947.0,38.184614,0.0
48,7,0.7,6048.0,73.0,23580.0,38.73671409,0.0
48,8,0.7,8090.0990099,100.0,29928.25,48.4029997733,41081.15579252436
48,9,0.7,1179.0,17.0,0.0,57.13733015,0.0
48,10,0.7,3609.09090909,182.0,33500.0,47.41788172,0.0
48,11,0.7,2008.0,112.0,0.0,55.01261,0.0
48,12,0.7,398.01980198,12.0,0.0,0.0,0.0
48,13,0.7,86.0,0.0,0.0,0.0,0.0
48,14,0.7,257.575757576,1.0,0.0,0.0,0.0
48,15,0.7,1545.54455446,29.0,20000.0,0.0,678476.5572649073
48,16,0.7,1160.0,10.0,0.0,0.0,0.0
48,17,0.7,6058.0,163.0,15000.0,0.0,0.0
48,18,0.7,2570.70707071,73.0,0.0,0.0,1114237.193479298
48,19,0.7,11294.1176471,341.0,38564.3333333,52.76991383,0.0
48,20,0.7,38526.0,239.0,40863.7142857,61.75222333,0.0
48,21,0.7,57138.0,1244.0,37068.4,75.1190824433,0.0
48,22,0.7,21568.6868687,214.0,34211.6666667,75.8343784467,0.0
48,23,0.7,1458.41584158,3.0,0.0,65.054528245,0.0
48,24,0.7,5259.40594059,19.0,36357.0,42.7399388867,0.0
48,25,0.7,7235.0,74.0,44877.0,60.8811677667,373940.03348741634
48,26,0.7,3831.0,5.0,20000.0,0.0,0.0
48,27,0.7,1753.53535354,35.0,10000.0,0.0,70303.16159182088
48,28,0.7,1036.63366337,1.0,0.0,0.0,0.0
48,29,0.7,770.297029703,0.0,0.0,0.0,0.0
48,30,0.7,3273.0,12.0,0.0,0.0,0.0
48,31,0.7,4268.68686869,17.0,0.0,0.0,0.0
48,32,0.7,631.0,0.0,0.0,0.0,0.0
48,33,0.7,1674.50980392,3.0,0.0,0.0,0.0
48,34,0.7,2113.13131313,133.0,75132.5,89.93322107,0.0
48,35,0.7,840.404040404,267.0,43110.25,111.610370397,0.0
48,36,0.7,188.118811881,2.0,0.0,258.11980295,0.0
48,37,0.7,504.0,6.0,0.0,0.0,0.0
48,38,0.7,2051.0,7.0,43502.0,59.43818419,0.0
48,39,0.7,14911.0,427.0,26108.7,56.28615527,0.0
48,40,0.7,13430.6930693,330.0,35537.5,53.3972169367,0.0
48,41,0.7,1542.0,9.0,0.0,55.343264425,0.0
