ID,顺序,容积率,改造方案
14966,4,2,334
14972,4,2,334
14976,2,2,334
14981,3,2,334
14991,9,2,334
14992,3,2,334
14993,3,2,334
14994,2,2,334
14997,10,2,334
14998,2,2,334
14999,10,2,334
15001,2,2,334
15012,4,2,334
15014,2,2,334
15022,10,2,334
15025,10,2,334
15033,10,2,334
15038,11,2,334
15039,4,2,334
15041,11,2,334
15048,1,2,334
15050,9,2,334
15052,11,2,334
15053,11,2,334
15054,9,2,334
15055,10,2,334
15060,11,2,334
15061,1,2,334
15062,9,2,334
15063,9,2,334
15064,10,2,334
15068,10,2,334
15069,10,2,334
15072,10,2,334
15078,7,2,334
15079,7,2,334
15082,4,2,334
15083,4,2,334
15084,4,2,334
15085,5,2,334
15086,5,2,334
15112,5,2,334
15121,12,2,334
15122,12,2,334
15123,3,2,334
15124,9,2,334
15125,12,2,334
15128,10,2,334
15133,9,2,334
15135,3,2,334
15136,12,2,334
15137,12,2,334
15138,7,2,334
15140,9,2,334
15142,9,2,334
15143,5,2,334
15144,5,2,334
15145,12,2,334
15148,9,2,334
15149,12,2,334
15158,9,2,334
15160,12,2,334
15161,12,2,334
15162,12,2,334
15170,7,2,334
15173,5,2,334
15174,12,2,334
15175,12,2,334
15176,9,2,334
15177,3,2,334
15179,12,2,334
15180,9,2,334
15181,12,2,334
15183,12,2,334
15184,3,2,334
15185,12,2,334
15186,3,2,334
15187,6,2,334
15193,9,2,334
15196,9,2,334
15197,7,2,334
15199,12,2,334
15203,9,2,334
15204,5,2,334
15205,1,2,334
15208,12,2,334
15210,3,2,334
15212,1,2,334
15214,9,2,334
15219,9,2,334
15221,9,2,334
15222,1,2,334
15226,7,2,334
15227,5,2,334
15229,5,2,334
15235,10,2,334
15236,10,2,334
15246,4,2,334
15250,4,2,334
15252,4,2,334
15257,5,2,334
15258,10,2,334
15259,10,2,334
15262,9,2,334
15263,9,2,334
15264,9,2,334
15270,1,2,334
15273,9,2,334
15274,9,2,334
15280,11,2,334
15299,9,2,334
15310,11,2,334
15318,11,2,334
15319,11,2,334
