year,idx,r_c,r_r,r_poi,FAR
8,133,0.6,0.1,0.3,2.0
8,755,0.6,0.2,0.2,1.8
8,592,0.4,0.2,0.4,2.1
8,1290,0.4,0.3,0.3,2.1
8,1335,0.4,0.4,0.4,2.2
8,232,0.3,0.5,0.2,1.8
8,1234,0.6,0.2,0.2,2.1
8,1178,0.3,0.3,0.4,2.2
8,555,0.5,0.2,0.3,1.9
8,965,0.4,0.4,0.4,2.2
8,164,0.4,0.4,0.4,2.1
8,115,0.4,0.2,0.4,2.2
8,617,0.2,0.7,0.1,2.2
8,1221,0.4,0.4,0.4,2.1
8,329,0.4,0.3,0.3,2.2
8,323,0.6,0.1,0.3,1.8
8,136,0.4,0.4,0.4,1.9
8,1020,0.4,0.2,0.4,2.2
8,1398,0.6,0.1,0.3,2.2
8,1002,0.3,0.3,0.4,1.9
8,616,0.5,0.2,0.3,2.2
8,110,0.3,0.3,0.4,2.2
8,760,0.4,0.4,0.4,2.0
8,832,0.4,0.2,0.4,1.9
8,1191,0.6,0.3,0.1,1.9
8,789,0.6,0.3,0.1,2.1
9,604,0.6,0.1,0.3,2.0
9,177,0.4,0.2,0.4,2.1
9,0,0.5,0.2,0.3,2.2
9,277,0.4,0.2,0.4,2.0
9,98,0.4,0.2,0.4,2.2
9,1399,0.4,0.2,0.4,2.1
9,809,0.6,0.2,0.2,2.1
9,175,0.4,0.3,0.3,2.0
9,170,0.4,0.4,0.4,2.2
9,816,0.4,0.2,0.4,2.2
9,286,0.6,0.2,0.2,2.1
9,105,0.6,0.1,0.3,2.1
9,1008,0.5,0.2,0.3,1.9
9,1379,0.4,0.4,0.4,2.2
9,1249,0.4,0.4,0.4,2.1
9,190,0.6,0.1,0.3,1.9
9,467,0.4,0.2,0.4,1.9
9,588,0.4,0.2,0.4,2.0
9,938,0.6,0.3,0.1,1.9
9,922,0.4,0.2,0.4,2.1
9,502,0.4,0.4,0.4,1.9
9,1022,0.4,0.2,0.4,2.2
9,915,0.4,0.3,0.3,2.1
9,1223,0.2,0.4,0.4,1.9
9,971,0.5,0.2,0.3,2.2
9,40,0.3,0.3,0.4,2.2
9,822,0.6,0.1,0.3,2.2
9,638,0.4,0.2,0.4,1.9
9,1405,0.6,0.1,0.3,2.0
9,108,0.6,0.3,0.1,2.1
10,1407,0.6,0.1,0.3,2.0
10,857,0.4,0.2,0.4,2.1
10,480,0.5,0.2,0.3,2.2
10,818,0.4,0.2,0.4,2.0
10,214,0.6,0.1,0.3,2.0
10,1425,0.6,0.1,0.3,2.2
10,1097,0.7,0.2,0.1,2.2
10,321,0.4,0.3,0.3,2.1
10,1181,0.4,0.4,0.4,2.2
10,204,0.4,0.2,0.4,2.2
10,578,0.6,0.2,0.2,2.1
10,1189,0.5,0.2,0.3,2.1
10,64,0.5,0.2,0.3,1.9
10,1161,0.4,0.2,0.4,2.0
10,962,0.4,0.4,0.4,2.1
10,1182,0.6,0.2,0.2,2.1
10,1141,0.4,0.3,0.3,2.0
10,1056,0.6,0.2,0.2,2.0
10,1252,0.4,0.3,0.3,2.2
10,534,0.6,0.1,0.3,2.2
10,1138,0.4,0.4,0.4,1.9
10,810,0.4,0.2,0.4,2.2
10,20,0.2,0.4,0.4,2.1
10,867,0.3,0.3,0.4,1.9
10,1099,0.5,0.2,0.3,2.2
10,396,0.3,0.3,0.4,2.2
10,526,0.4,0.4,0.4,2.0
10,1441,0.4,0.2,0.4,1.9
10,1197,0.4,0.4,0.4,2.1
10,1353,0.5,0.2,0.3,1.9
11,817,0.6,0.1,0.3,2.0
11,124,0.4,0.2,0.4,2.1
11,1018,0.5,0.2,0.3,2.2
11,1016,0.4,0.2,0.4,2.0
11,1437,0.4,0.2,0.4,2.2
11,861,0.6,0.2,0.2,1.8
11,701,0.4,0.2,0.4,2.1
11,1180,0.2,0.6,0.2,2.0
11,1153,0.4,0.4,0.4,2.2
11,1115,0.4,0.2,0.4,2.2
11,1019,0.6,0.2,0.2,2.1
11,1413,0.6,0.1,0.3,2.2
11,584,0.5,0.2,0.3,1.9
11,1131,0.4,0.4,0.4,2.2
11,899,0.4,0.4,0.4,2.1
11,334,0.7,0.2,0.1,2.1
11,398,0.5,0.2,0.3,2.2
11,351,0.6,0.2,0.2,2.0
11,855,0.4,0.3,0.3,2.2
11,120,0.2,0.6,0.2,2.1
11,712,0.4,0.4,0.4,1.9
11,970,0.4,0.2,0.4,2.2
11,473,0.4,0.3,0.3,2.1
11,808,0.3,0.3,0.4,1.9
11,254,0.5,0.2,0.3,2.2
11,229,0.3,0.3,0.4,2.2
11,957,0.4,0.4,0.4,2.0
11,1250,0.4,0.2,0.4,1.9
11,599,0.4,0.4,0.4,2.1
11,722,0.5,0.2,0.3,1.9
12,545,0.6,0.1,0.3,2.0
12,126,0.4,0.2,0.4,2.1
12,95,0.5,0.2,0.3,2.2
12,361,0.4,0.2,0.4,2.0
12,1415,0.6,0.1,0.3,2.0
12,1098,0.6,0.1,0.3,2.2
12,967,0.4,0.2,0.4,2.2
12,409,0.6,0.2,0.2,2.0
12,954,0.6,0.1,0.3,2.1
12,849,0.7,0.2,0.1,2.2
12,944,0.6,0.2,0.2,2.1
12,684,0.5,0.2,0.3,2.1
12,1409,0.5,0.2,0.3,1.9
12,631,0.4,0.4,0.4,2.2
12,139,0.4,0.4,0.4,2.1
12,548,0.7,0.2,0.1,2.1
12,1427,0.4,0.3,0.3,2.0
12,1364,0.7,0.2,0.1,2.2
12,889,0.4,0.3,0.3,2.2
12,740,0.6,0.1,0.3,2.2
12,670,0.4,0.4,0.4,1.9
12,406,0.4,0.2,0.4,2.2
12,1417,0.4,0.2,0.4,2.2
12,102,0.6,0.1,0.3,1.8
12,42,0.5,0.2,0.3,2.2
12,1341,0.3,0.3,0.4,2.2
12,238,0.5,0.2,0.3,2.0
12,713,0.4,0.2,0.4,1.9
12,854,0.4,0.4,0.4,2.1
12,799,0.5,0.2,0.3,1.9
