year,ID,r_c,r_r,r_poi,FAR
7,15537,0.6,0.3,0.1,2.2
7,14483,0.6,0.1,0.3,2.2
7,14774,0.5,0.2,0.3,1.8
7,14081,0.4,0.2,0.4,1.9
7,14681,0.6,0.2,0.2,2.0
7,14090,0.2,0.4,0.4,1.9
7,14542,0.6,0.2,0.2,2.0
7,14580,0.6,0.2,0.2,1.9
7,14068,0.3,0.3,0.4,2.1
7,14509,0.6,0.1,0.3,1.8
8,15177,0.4,0.3,0.3,2.0
8,14633,0.7,0.2,0.1,1.9
8,14091,0.6,0.2,0.2,2.2
8,14456,0.4,0.2,0.4,2.1
8,48,0.5,0.2,0.3,1.9
8,14742,0.4,0.2,0.4,2.2
8,14117,0.6,0.1,0.3,1.9
8,15545,0.6,0.3,0.1,2.2
8,14513,0.7,0.2,0.1,2.2
8,14607,0.6,0.1,0.3,2.1
8,14734,0.4,0.2,0.4,1.8
8,14390,0.7,0.2,0.1,2.2
8,14878,0.6,0.1,0.3,2.0
8,14492,0.7,0.2,0.1,1.9
8,14075,0.7,0.2,0.1,2.0
8,14110,0.6,0.2,0.2,2.1
8,14538,0.3,0.3,0.4,2.1
8,14461,0.6,0.3,0.1,2.2
8,14100,0.6,0.2,0.2,2.2
8,14089,0.7,0.2,0.1,2.2
8,14088,0.6,0.3,0.1,2.2
8,14490,0.6,0.1,0.3,2.2
8,14697,0.6,0.2,0.2,1.9
8,15542,0.4,0.2,0.4,1.9
8,14465,0.6,0.2,0.2,2.0
8,14557,0.2,0.4,0.4,1.9
8,14247,0.3,0.3,0.4,2.2
8,14525,0.6,0.2,0.2,1.9
8,14080,0.3,0.3,0.4,2.1
8,15536,0.6,0.1,0.3,1.8
9,14591,0.5,0.2,0.3,2.0
9,14755,0.4,0.3,0.3,1.9
9,14748,0.6,0.2,0.2,2.2
9,14690,0.4,0.2,0.4,2.1
9,14602,0.6,0.3,0.1,2.0
9,15068,0.3,0.3,0.4,2.2
9,14545,0.6,0.1,0.3,1.9
9,14409,0.6,0.3,0.1,2.2
9,14703,0.7,0.2,0.1,2.2
9,14094,0.6,0.1,0.3,2.1
9,14079,0.4,0.2,0.4,1.8
9,14609,0.7,0.2,0.1,2.2
9,14057,0.6,0.1,0.3,2.0
9,14900,0.7,0.2,0.1,1.9
9,14073,0.7,0.2,0.1,2.0
9,14593,0.6,0.2,0.2,2.1
9,14721,0.3,0.3,0.4,2.1
9,14176,0.6,0.3,0.1,2.2
9,14628,0.6,0.2,0.2,2.2
9,14305,0.7,0.2,0.1,2.2
9,14756,0.6,0.3,0.1,2.2
9,12633,0.6,0.1,0.3,2.2
9,15064,0.6,0.2,0.2,1.9
9,14658,0.4,0.2,0.4,1.9
9,14724,0.6,0.2,0.2,2.0
9,14524,0.2,0.4,0.4,1.9
9,14258,0.3,0.3,0.4,2.2
9,14410,0.6,0.2,0.2,1.9
9,15333,0.3,0.3,0.4,2.1
9,14947,0.6,0.1,0.3,1.8
10,14055,0.4,0.3,0.3,2.0
10,14573,0.7,0.2,0.1,1.9
10,14466,0.6,0.2,0.2,2.2
10,14705,0.4,0.2,0.4,2.1
10,14505,0.6,0.3,0.1,2.0
10,14704,0.3,0.3,0.4,2.2
10,14475,0.6,0.1,0.3,1.9
10,14508,0.6,0.3,0.1,2.2
10,14138,0.7,0.2,0.1,2.2
10,14521,0.6,0.1,0.3,2.1
10,14447,0.4,0.2,0.4,1.8
10,14735,0.7,0.2,0.1,2.2
10,14711,0.6,0.1,0.3,2.0
10,14403,0.7,0.2,0.1,1.9
10,14324,0.7,0.2,0.1,2.0
10,14974,0.6,0.2,0.2,2.1
10,14737,0.3,0.3,0.4,2.1
10,14757,0.6,0.3,0.1,2.2
10,14360,0.6,0.2,0.2,2.2
10,14516,0.7,0.2,0.1,2.2
10,9310,0.6,0.3,0.1,2.2
10,14566,0.6,0.1,0.3,2.2
10,14335,0.6,0.2,0.2,1.9
10,14045,0.4,0.2,0.4,1.9
10,14177,0.6,0.2,0.2,2.0
10,14635,0.2,0.4,0.4,1.9
10,14877,0.3,0.3,0.4,2.2
10,14608,0.6,0.2,0.2,1.9
10,14235,0.3,0.3,0.4,2.1
10,14518,0.6,0.1,0.3,1.8
11,14632,0.4,0.3,0.3,2.0
11,14949,0.4,0.3,0.3,1.9
11,7312,0.6,0.2,0.2,2.2
11,14514,0.4,0.2,0.4,2.1
11,14551,0.6,0.3,0.1,2.0
11,9925,0.3,0.3,0.4,2.2
11,14714,0.6,0.1,0.3,1.9
11,14636,0.6,0.3,0.1,2.2
11,15075,0.7,0.2,0.1,2.2
11,14135,0.6,0.1,0.3,2.1
11,14113,0.4,0.2,0.4,1.8
11,14056,0.7,0.2,0.1,2.2
11,14451,0.6,0.1,0.3,2.0
11,14292,0.7,0.2,0.1,1.9
11,14452,0.7,0.2,0.1,2.0
11,14517,0.6,0.2,0.2,2.1
11,14304,0.3,0.3,0.4,2.1
11,14036,0.6,0.3,0.1,2.2
11,14463,0.6,0.2,0.2,2.2
11,15150,0.7,0.2,0.1,2.2
11,11967,0.6,0.3,0.1,2.2
11,14309,0.6,0.1,0.3,2.2
11,14473,0.6,0.2,0.2,1.9
11,14496,0.4,0.2,0.4,1.9
11,13715,0.6,0.2,0.2,2.0
11,14133,0.2,0.4,0.4,1.9
11,14773,0.3,0.3,0.4,2.2
11,9496,0.6,0.2,0.2,1.9
11,14339,0.3,0.3,0.4,2.1
11,14255,0.6,0.1,0.3,1.8
12,14201,0.4,0.3,0.3,2.0
