,Area,ID,assign_row,assign_col
111,0.0193162596752,14535,38.0,30.0
112,0.0278462439345,14538,35.0,31.0
113,0.0309095330624,14539,29.0,34.0
114,0.0181720857237,14540,30.0,37.0
115,0.0282522308029,14541,27.0,38.0
116,0.0389159796393,14542,30.0,37.0
117,0.0315904447246,14543,29.0,36.0
118,0.00881437028328,14544,29.0,35.0
119,0.0058839672873,14560,30.0,41.0
120,0.0437448152975,14563,28.0,38.0
121,0.0335385990317,14564,28.0,39.0
122,0.00948150799076,14565,28.0,38.0
123,0.038328455838,14566,27.0,38.0
124,0.0494915050241,14581,24.0,33.0
125,0.0298478651482,14586,19.0,35.0
126,0.0180397933202,14587,19.0,36.0
127,0.0334864213866,14588,19.0,36.0
128,0.0500576462771,14589,18.0,36.0
129,0.0409643182344,14590,18.0,36.0
130,0.0359776894922,14592,19.0,35.0
131,0.0419386266828,14593,19.0,35.0
132,0.00764287926363,14594,19.0,36.0
133,0.0915691047962,14595,19.0,35.0
134,0.0883697708792,14596,12.0,35.0
135,0.00956236424607,14597,31.0,34.0
136,0.0989671157395,14601,35.0,31.0
137,0.0366880692921,14602,31.0,38.0
138,0.0173336755952,14603,31.0,36.0
139,0.0353226373376,14605,30.0,43.0
140,0.0051755156829,14606,30.0,43.0
141,0.023022953616,14608,37.0,36.0
142,0.0363172223855,14609,35.0,37.0
143,0.0946310448174,14610,33.0,38.0
144,0.040147828186,14611,33.0,38.0
145,0.052939349963,14620,23.0,47.0
146,0.00931699814589,14621,25.0,38.0
147,0.0087686307618,14622,31.0,39.0
148,0.0318973912663,14623,31.0,42.0
149,0.0484775246835,14624,36.0,34.0
150,0.0365419673848,14625,31.0,40.0
151,0.151017262868,14628,31.0,43.0
152,0.0577911453058,14629,33.0,44.0
153,0.111608661642,14630,34.0,44.0
154,0.0399093221265,14631,30.0,43.0
155,0.0266120402444,14632,30.0,42.0
156,0.042147852115,14633,31.0,44.0
157,0.09263248534,14634,31.0,39.0
158,0.0247740875279,14635,29.0,38.0
159,0.122848341091,14636,27.0,40.0
160,0.0579840599692,14637,38.0,43.0
161,0.147136478471,14638,27.0,40.0
162,0.0107476836134,14639,28.0,39.0
163,0.0299822204831,14646,27.0,38.0
164,0.0205961885975,14647,27.0,38.0
165,0.0220129727573,14648,27.0,39.0
166,0.113818336484,14649,27.0,39.0
167,0.027741841492,14650,27.0,39.0
168,0.0812816843481,14651,27.0,41.0
169,0.101219055031,14652,27.0,39.0
170,0.0999678783316,14653,27.0,39.0
171,0.0490276851903,14654,28.0,38.0
172,0.0674400851984,14655,27.0,39.0
173,0.119036359825,14656,27.0,38.0
174,0.0284337862111,14657,27.0,38.0
175,0.030475489066,14658,27.0,38.0
176,0.123199577557,14659,29.0,38.0
177,0.151431157725,14660,31.0,44.0
178,0.0891515098896,14661,36.0,45.0
179,0.0337660976311,14662,37.0,44.0
180,0.0291333518966,14663,38.0,43.0
181,0.00908791601944,14664,38.0,43.0
182,0.0779202629536,14665,37.0,42.0
183,0.117762889071,14666,35.0,44.0
184,0.104283310584,14667,35.0,43.0
185,0.0477437228428,14668,35.0,43.0
186,0.0175933588961,14669,36.0,44.0
187,0.00775166235142,14670,35.0,44.0
188,0.014062800766,14671,35.0,44.0
189,0.0142086929059,14672,36.0,43.0
190,0.0191479456174,14673,36.0,43.0
191,0.041375618278,14674,37.0,42.0
192,0.0418445945517,14675,38.0,43.0
193,0.0571171549227,14676,38.0,42.0
194,0.0313964646477,14677,38.0,43.0
195,0.0228444441425,14678,38.0,43.0
196,0.012066649842,14679,40.0,35.0
197,0.0532177195606,14680,40.0,36.0
198,0.177790565687,14681,38.0,37.0
199,0.0761299686941,14682,38.0,37.0
200,0.0485987457226,14683,38.0,36.0
201,0.140464180848,14684,38.0,37.0
202,0.0717909079724,14685,36.0,32.0
203,0.012737189281,14687,37.0,37.0
204,0.00898049330109,14688,34.0,38.0
205,0.00921407991531,14689,35.0,38.0
206,0.0841366253325,14690,34.0,38.0
207,0.0365931179935,14691,35.0,38.0
208,0.0224516622576,14692,35.0,38.0
209,0.0677260241203,14693,34.0,38.0
210,0.0135024849019,14694,33.0,40.0
211,0.0560255088586,14695,34.0,38.0
212,0.00695687832479,14696,34.0,38.0
213,0.0220466327201,14697,34.0,38.0
214,0.0192048380492,14698,34.0,38.0
215,0.0235186770645,14699,34.0,36.0
216,0.0925993009664,14700,33.0,36.0
217,0.0387138052178,14701,34.0,36.0
218,0.0221685175295,14702,36.0,32.0
219,0.15193256772,14703,31.0,38.0
220,0.0113181020318,14704,35.0,31.0
221,0.0164421999012,14705,35.0,31.0
222,0.0265497690321,14706,35.0,31.0
223,0.0362113257972,14707,37.0,34.0
224,0.0382460520581,14708,37.0,33.0
225,0.0657046221267,14709,36.0,32.0
