year,row,column,r_c,r_r,r_poi,FAR
8,37,34,0.6,0.3,0.1,1.9
8,11,27,0.6,0.1,0.3,2.1
8,9,12,0.6,0.2,0.2,2.1
8,37,16,0.7,0.2,0.1,1.8
8,38,30,0.1,0.6,0.3,2.0
8,41,28,0.1,0.6,0.3,1.9
8,18,46,0.4,0.3,0.3,2.1
8,16,8,0.1,0.6,0.3,1.8
8,51,5,0.1,0.7,0.2,2.0
8,20,49,0.6,0.3,0.1,1.8
8,47,26,0.2,0.4,0.4,1.8
8,43,5,0.1,0.7,0.2,2.1
8,39,14,0.2,0.7,0.1,2.0
8,16,6,0.2,0.4,0.4,2.2
8,41,47,0.7,0.2,0.1,2.0
8,38,28,0.4,0.4,0.4,2.0
8,11,26,0.6,0.3,0.1,1.9
8,42,4,0.5,0.2,0.3,2.2
8,26,19,0.5,0.2,0.3,1.8
8,7,9,0.6,0.3,0.1,2.0
8,23,8,0.2,0.7,0.1,1.9
8,4,16,0.3,0.5,0.2,2.2
8,53,10,0.3,0.3,0.4,1.8
8,21,10,0.4,0.3,0.3,1.8
8,43,9,0.2,0.6,0.2,1.8
8,36,27,0.2,0.4,0.4,2.0
8,5,10,0.6,0.2,0.2,2.2
8,3,11,0.1,0.7,0.2,1.8
8,46,2,0.4,0.2,0.4,1.8
8,24,11,0.3,0.3,0.4,2.1
9,5,30,0.4,0.4,0.4,2.0
9,4,26,0.1,0.6,0.3,2.2
9,38,45,0.3,0.5,0.2,2.0
9,17,15,0.5,0.2,0.3,1.9
9,31,33,0.1,0.6,0.3,1.8
9,27,27,0.7,0.2,0.1,2.0
9,37,7,0.6,0.1,0.3,1.9
9,7,12,0.1,0.7,0.2,2.0
9,23,32,0.4,0.4,0.4,2.2
9,5,44,0.4,0.4,0.4,1.9
9,47,2,0.5,0.2,0.3,2.2
9,7,8,0.1,0.6,0.3,2.0
9,3,27,0.6,0.1,0.3,2.2
9,3,18,0.7,0.2,0.1,2.0
9,4,20,0.6,0.2,0.2,1.8
9,38,8,0.6,0.3,0.1,1.8
9,43,29,0.3,0.3,0.4,2.1
9,27,12,0.6,0.3,0.1,2.1
9,21,47,0.2,0.6,0.2,1.9
9,15,7,0.7,0.2,0.1,2.0
9,33,22,0.2,0.4,0.4,1.9
9,18,22,0.2,0.6,0.2,2.2
9,29,18,0.2,0.6,0.2,1.8
