assign_row,assign_col,area
42.0,24.0,33237.208700237556
23.0,32.0,39621.658541858524
41.0,26.0,10177.404642172016
42.0,24.0,5788.7532937830265
30.0,41.0,13903.618421338682
34.0,44.0,70596.77313033195
30.0,43.0,82396.61976586682
30.0,41.0,26952.938195618313
30.0,39.0,50955.38249645827
37.0,42.0,365724.66798800585
45.0,17.0,992140.9178212951
31.0,45.0,96380.02155727189
36.0,35.0,155995.12055461624
40.0,36.0,147608.33590768953
34.0,13.0,18101.331506076604
34.0,16.0,116372.63849007894
34.0,13.0,86461.02976186671
36.0,36.0,25809.626169382987
43.0,22.0,86802.78372207262
52.0,22.0,739274.0765806788
44.0,22.0,34290.65537702697
19.0,41.0,378592.69481430924
20.0,42.0,609488.3627387506
19.0,42.0,76192.85420208545
23.0,52.0,1139308.8885190547
32.0,50.0,5624.528024844694
32.0,50.0,18237.63696338376
30.0,48.0,11837.606425866537
30.0,48.0,9617.328703153806
30.0,47.0,9572.277906867632
31.0,46.0,40976.15849719269
32.0,48.0,8129.210381291642
20.0,12.0,24154.49813549535
21.0,10.0,23269.754307337305
21.0,10.0,52949.87399741396
20.0,12.0,42237.5706536612
9.0,36.0,366869.5884713654
10.0,37.0,321687.79486352636
5.0,45.0,172837.9854852159
20.0,13.0,233866.39381929583
47.0,40.0,506043.55981553666
28.0,13.0,94515.83578561619
17.0,47.0,517523.63616962335
21.0,10.0,164064.37527296456
26.0,14.0,114186.64798108363
17.0,15.0,26356.838523595234
47.0,40.0,277664.4578575781
42.0,31.0,64493.90660727747
18.0,17.0,60396.05111960289
19.0,17.0,93113.1323688586
19.0,17.0,19863.86814848774
26.0,21.0,14153.698249517201
24.0,22.0,6728.396241572922
41.0,4.0,78121.83056589025
11.0,7.0,596497.1981616132
42.0,9.0,82815.06263007666
42.0,8.0,55446.08749722503
42.0,9.0,94984.55137767794
9.0,9.0,332526.97413972183
9.0,11.0,84822.8366987242
13.0,11.0,488315.71995126305
40.0,10.0,13359.130549787942
37.0,7.0,68272.55367381564
42.0,7.0,282819.6897426646
32.0,9.0,67371.89549081367
28.0,5.0,121762.55376483557
24.0,3.0,33808.79446587526
25.0,2.0,21423.96749156257
28.0,8.0,95406.16805400509
28.0,5.0,7994.982158718467
27.0,4.0,18843.61400452272
27.0,7.0,23554.20217729287
28.0,5.0,13278.0046110226
28.0,16.0,11292.221940080759
20.0,20.0,31945.3937985551
29.0,18.0,9262.983270268669
17.0,46.0,38464.21922486389
20.0,4.0,138122.61627150993
19.0,2.0,131815.45221183053
20.0,3.0,46250.825887624494
19.0,3.0,203937.0759479314
19.0,3.0,144766.68228379227
19.0,2.0,34721.98208479864
19.0,2.0,7593.130293549999
20.0,2.0,30266.733465546706
25.0,2.0,10621.206886181579
25.0,2.0,13149.113387374344
18.0,2.0,104616.28378728217
52.0,2.0,320200.365527918
52.0,2.0,30544.957591040253
53.0,8.0,349570.0508766703
