year,ID,r_c,r_r,r_poi,FAR
9,15541,0.6,0.1,0.3,1.9
9,14209,0.4,0.3,0.3,1.9
9,14335,0.4,0.3,0.3,1.8
9,14358,0.7,0.2,0.1,2.0
9,12917,0.7,0.2,0.1,1.9
9,14892,0.6,0.2,0.2,2.0
9,14556,0.1,0.6,0.3,2.1
9,14628,0.4,0.2,0.4,1.9
9,14584,0.3,0.3,0.4,2.1
9,15206,0.3,0.3,0.4,1.9
9,14766,0.7,0.2,0.1,2.2
9,14428,0.6,0.1,0.3,1.8
9,14703,0.2,0.4,0.4,2.1
9,15202,0.5,0.2,0.3,1.8
9,14809,0.6,0.2,0.2,2.2
9,14843,0.4,0.2,0.4,2.1
9,15346,0.7,0.2,0.1,1.9
9,14621,0.6,0.2,0.2,2.1
9,15191,0.6,0.3,0.1,2.1
9,14438,0.2,0.6,0.2,2.1
9,14097,0.7,0.2,0.1,2.2
9,15029,0.4,0.2,0.4,2.0
9,14322,0.3,0.5,0.2,1.8
9,15324,0.6,0.1,0.3,2.2
9,14683,0.1,0.7,0.2,1.9
9,14549,0.5,0.2,0.3,2.2
10,15100,0.7,0.2,0.1,2.2
10,15381,0.7,0.2,0.1,2.1
10,15183,0.3,0.3,0.4,2.2
10,14519,0.6,0.2,0.2,1.9
10,15006,0.6,0.3,0.1,1.8
10,15086,0.4,0.3,0.3,1.9
10,14878,0.4,0.3,0.3,1.8
10,14311,0.7,0.2,0.1,2.0
10,14325,0.7,0.2,0.1,1.9
10,14700,0.6,0.2,0.2,2.0
10,14186,0.1,0.6,0.3,2.1
10,14237,0.4,0.2,0.4,1.9
10,14374,0.3,0.3,0.4,2.1
10,14733,0.3,0.3,0.4,1.9
10,14350,0.7,0.2,0.1,2.2
10,14498,0.6,0.1,0.3,1.8
10,14126,0.2,0.4,0.4,2.1
10,14057,0.5,0.2,0.3,1.8
10,14874,0.6,0.2,0.2,2.2
10,14184,0.4,0.2,0.4,2.1
10,14598,0.7,0.2,0.1,1.9
10,15236,0.6,0.2,0.2,2.1
10,14736,0.6,0.3,0.1,2.1
10,14591,0.2,0.6,0.2,2.1
10,15150,0.7,0.2,0.1,2.2
10,14921,0.4,0.2,0.4,2.0
10,14235,0.3,0.5,0.2,1.8
10,14880,0.6,0.1,0.3,2.2
10,15280,0.1,0.7,0.2,1.9
10,13941,0.5,0.2,0.3,2.2
11,14446,0.7,0.2,0.1,2.2
11,15550,0.7,0.2,0.1,2.1
11,15070,0.3,0.3,0.4,2.2
11,14077,0.6,0.2,0.2,1.9
11,15352,0.6,0.3,0.1,1.8
11,14944,0.4,0.3,0.3,1.9
11,14978,0.4,0.3,0.3,1.8
11,14278,0.7,0.2,0.1,2.0
11,14682,0.7,0.2,0.1,1.9
11,15149,0.6,0.2,0.2,2.0
11,15042,0.1,0.6,0.3,2.1
11,14970,0.4,0.2,0.4,1.9
11,14108,0.3,0.3,0.4,2.1
11,14962,0.3,0.3,0.4,1.9
11,14405,0.7,0.2,0.1,2.2
11,14313,0.5,0.2,0.3,2.0
11,14380,0.2,0.4,0.4,2.1
11,14518,0.5,0.2,0.3,1.8
11,14935,0.6,0.2,0.2,2.2
11,14262,0.4,0.2,0.4,2.1
11,14062,0.7,0.2,0.1,1.9
11,14812,0.6,0.2,0.2,2.1
11,15196,0.6,0.3,0.1,2.1
11,14946,0.2,0.6,0.2,2.1
11,15258,0.7,0.2,0.1,2.2
11,14566,0.4,0.2,0.4,2.0
11,14862,0.3,0.5,0.2,1.8
11,15319,0.6,0.1,0.3,2.2
11,14136,0.1,0.7,0.2,1.9
11,14941,0.5,0.2,0.3,2.2
12,14603,0.7,0.2,0.1,2.2
12,9578,0.7,0.2,0.1,2.1
12,15045,0.3,0.3,0.4,2.2
12,15242,0.6,0.2,0.2,1.9
12,14606,0.6,0.1,0.3,1.9
12,14852,0.4,0.3,0.3,1.9
