,Unnamed: 0,ID,year,FAR,r_c,r_r,r_poi
343,343,15055,5,2,0.7,0.2,0.1
344,344,15128,5,2,0.7,0.2,0.1
345,345,15209,10,2,0.7,0.2,0.1
346,346,15215,5,2,0.7,0.2,0.1
347,347,15223,11,2,0.7,0.2,0.1
348,348,15332,9,2,0.6,0.3,0.1
349,349,15333,9,2,0.6,0.3,0.1
350,350,15334,5,2,0.7,0.2,0.1
351,351,15335,9,2,0.7,0.2,0.1
352,352,15336,9,2,0.7,0.2,0.1
353,353,15337,5,2,0.7,0.2,0.1
354,354,15338,7,2,0.7,0.2,0.1
355,355,15339,7,2,0.7,0.2,0.1
356,356,15342,7,2,0.7,0.2,0.1
357,357,15343,7,2,0.7,0.2,0.1
358,358,15344,1,2,0.7,0.2,0.1
359,359,15346,8,2,0.7,0.2,0.1
