year,idx,r_c,r_r,r_poi,FAR
10,604,0.6,0.2,0.2,1.9
10,170,0.4,0.4,0.4,1.8
10,1189,0.4,0.3,0.3,2.1
10,120,0.4,0.4,0.4,2.2
10,810,0.6,0.2,0.2,2.1
10,1098,0.6,0.2,0.2,2.1
10,302,0.6,0.1,0.3,2.1
10,1381,0.3,0.3,0.4,2.1
10,1398,0.4,0.4,0.4,2.2
10,1037,0.4,0.4,0.4,2.1
10,1335,0.5,0.2,0.3,2.1
10,340,0.6,0.1,0.3,2.2
10,1020,0.4,0.4,0.4,2.1
10,515,0.4,0.3,0.3,2.2
10,678,0.6,0.1,0.3,2.2
10,562,0.4,0.4,0.4,1.9
10,687,0.4,0.3,0.3,1.8
10,971,0.4,0.3,0.3,2.1
10,670,0.5,0.2,0.3,2.2
10,1061,0.3,0.3,0.4,1.8
10,453,0.4,0.2,0.4,2.1
10,179,0.4,0.4,0.4,2.0
10,351,0.4,0.2,0.4,1.9
10,992,0.4,0.4,0.4,2.1
10,831,0.5,0.2,0.3,1.9
11,760,0.6,0.1,0.3,2.0
11,937,0.4,0.2,0.4,2.1
11,900,0.4,0.2,0.4,2.1
11,575,0.4,0.2,0.4,2.0
11,164,0.4,0.2,0.4,2.2
11,818,0.4,0.4,0.4,2.1
11,204,0.7,0.2,0.1,2.2
11,1056,0.5,0.2,0.3,2.1
11,414,0.4,0.4,0.4,2.2
11,320,0.4,0.3,0.3,1.9
11,962,0.6,0.2,0.2,2.1
11,531,0.6,0.1,0.3,2.2
11,64,0.2,0.4,0.4,2.0
11,815,0.4,0.4,0.4,2.2
11,236,0.4,0.4,0.4,2.1
11,463,0.7,0.2,0.1,2.1
11,119,0.5,0.2,0.3,2.2
11,133,0.1,0.6,0.3,1.8
11,336,0.4,0.3,0.3,2.2
11,1409,0.6,0.1,0.3,2.2
11,743,0.4,0.4,0.4,1.9
11,941,0.4,0.2,0.4,2.2
11,513,0.4,0.3,0.3,2.1
11,237,0.6,0.1,0.3,1.8
11,518,0.5,0.2,0.3,2.2
11,599,0.3,0.3,0.4,2.2
11,1180,0.4,0.4,0.4,2.0
11,898,0.4,0.2,0.4,1.9
11,286,0.6,0.3,0.1,1.9
11,1088,0.6,0.3,0.1,2.1
12,1193,0.6,0.1,0.3,2.0
12,479,0.4,0.2,0.4,2.1
12,60,0.5,0.2,0.3,2.2
12,1234,0.4,0.2,0.4,2.0
12,459,0.6,0.1,0.3,2.0
12,160,0.1,0.7,0.2,1.8
12,106,0.7,0.2,0.1,2.1
12,855,0.4,0.2,0.4,2.2
12,157,0.4,0.4,0.4,2.2
12,1010,0.6,0.2,0.2,2.1
12,867,0.6,0.2,0.2,2.1
12,849,0.5,0.2,0.3,2.1
12,1399,0.2,0.4,0.4,2.2
12,921,0.4,0.4,0.4,2.2
12,486,0.4,0.4,0.4,2.1
12,1153,0.4,0.2,0.4,2.2
12,732,0.7,0.2,0.1,2.1
12,517,0.4,0.4,0.4,2.1
12,799,0.6,0.2,0.2,2.1
12,437,0.6,0.1,0.3,2.2
12,724,0.4,0.4,0.4,1.9
12,250,0.4,0.2,0.4,2.2
12,994,0.4,0.2,0.4,2.2
12,209,0.3,0.3,0.4,1.9
12,1222,0.5,0.2,0.3,2.2
12,263,0.3,0.3,0.4,2.2
12,552,0.4,0.4,0.4,2.0
12,798,0.4,0.2,0.4,1.9
12,1449,0.6,0.3,0.1,1.9
12,1360,0.5,0.2,0.3,1.9
