year,ID,r_c,r_r,r_poi,FAR
4,13957,0.7,0.2,0.1,1.9
5,14458,0.6,0.3,0.1,2.0
5,14468,0.7,0.2,0.1,2.1
5,15142,0.6,0.3,0.1,2.0
5,14114,0.6,0.3,0.1,2.2
5,15305,0.6,0.3,0.1,2.2
5,14344,0.7,0.2,0.1,2.2
5,15266,0.7,0.2,0.1,1.8
5,14490,0.6,0.2,0.2,1.9
5,14996,0.6,0.2,0.2,2.2
5,14068,0.6,0.2,0.2,2.2
5,14721,0.3,0.3,0.4,2.2
5,14727,0.7,0.2,0.1,2.2
5,14162,0.7,0.2,0.1,2.2
5,14550,0.6,0.2,0.2,2.1
5,15002,0.6,0.2,0.2,2.2
5,14708,0.6,0.3,0.1,2.2
5,15250,0.6,0.2,0.2,2.1
5,14205,0.7,0.2,0.1,2.2
5,12633,0.6,0.2,0.2,2.2
5,14405,0.6,0.2,0.2,2.0
5,14624,0.6,0.2,0.2,1.9
5,14136,0.5,0.2,0.3,2.2
5,14138,0.6,0.3,0.1,1.8
5,14714,0.7,0.2,0.1,2.2
5,14358,0.7,0.2,0.1,2.1
5,15363,0.7,0.2,0.1,2.0
5,15311,0.5,0.2,0.3,1.9
5,15545,0.6,0.1,0.3,2.2
5,14072,0.6,0.3,0.1,2.1
5,14641,0.7,0.2,0.1,1.9
6,15020,0.6,0.3,0.1,2.0
6,15027,0.7,0.2,0.1,2.1
6,14693,0.6,0.3,0.1,2.0
6,14460,0.6,0.3,0.1,2.2
6,15344,0.6,0.3,0.1,2.2
6,14451,0.7,0.2,0.1,2.2
6,14703,0.7,0.2,0.1,1.8
6,14492,0.6,0.2,0.2,1.9
6,9319,0.6,0.2,0.2,2.2
6,15181,0.6,0.2,0.2,2.2
6,14563,0.6,0.2,0.2,2.2
6,14628,0.7,0.2,0.1,2.2
6,14707,0.7,0.2,0.1,2.2
6,14292,0.6,0.2,0.2,2.2
6,14561,0.6,0.2,0.2,2.2
6,14391,0.6,0.3,0.1,2.2
6,14056,0.6,0.2,0.2,2.1
6,14475,0.7,0.2,0.1,2.2
6,14066,0.5,0.2,0.3,2.2
6,14849,0.6,0.2,0.2,2.0
6,14562,0.6,0.2,0.2,1.9
6,14461,0.5,0.2,0.3,2.2
6,15325,0.6,0.3,0.1,1.8
6,14073,0.7,0.2,0.1,2.2
6,15360,0.7,0.2,0.1,2.1
6,15342,0.7,0.2,0.1,2.0
6,14635,0.5,0.2,0.3,1.9
6,14489,0.6,0.1,0.3,2.2
6,14497,0.6,0.3,0.1,2.1
6,14521,0.7,0.2,0.1,1.9
7,14055,0.6,0.3,0.1,2.0
7,14580,0.7,0.2,0.1,2.1
7,14081,0.6,0.3,0.1,2.0
7,14947,0.6,0.3,0.1,2.2
7,14880,0.6,0.3,0.1,2.2
7,14455,0.7,0.2,0.1,2.2
7,14452,0.7,0.2,0.1,1.8
7,14756,0.6,0.2,0.2,1.9
7,14684,0.6,0.2,0.2,2.2
7,14098,0.6,0.2,0.2,2.2
7,14108,0.6,0.2,0.2,2.2
7,406,0.7,0.2,0.1,2.2
7,15230,0.7,0.2,0.1,2.2
7,14730,0.6,0.2,0.2,2.1
7,14597,0.6,0.1,0.3,2.1
7,14655,0.6,0.3,0.1,2.2
7,13009,0.6,0.2,0.2,2.1
