year,idx,r_c,r_r,r_poi,FAR
10,641,0.1,0.7,0.2,1.8
10,295,0.4,0.4,0.4,2.1
10,741,0.4,0.3,0.3,1.9
10,1224,0.4,0.4,0.4,1.8
10,1306,0.6,0.3,0.1,2.0
10,499,0.1,0.7,0.2,2.2
10,1176,0.1,0.7,0.2,1.8
10,94,0.7,0.2,0.1,1.9
10,879,0.4,0.2,0.4,1.8
10,1260,0.6,0.3,0.1,2.1
10,27,0.4,0.4,0.4,2.2
10,1118,0.2,0.4,0.4,2.2
10,508,0.5,0.2,0.3,2.0
10,1033,0.3,0.3,0.4,1.9
10,1071,0.2,0.6,0.2,1.8
10,248,0.5,0.2,0.3,1.9
10,142,0.3,0.5,0.2,2.0
10,725,0.4,0.2,0.4,2.1
10,620,0.2,0.4,0.4,2.1
10,586,0.2,0.4,0.4,2.0
10,663,0.5,0.2,0.3,2.2
10,878,0.2,0.7,0.1,2.1
10,1160,0.4,0.4,0.4,2.2
11,606,0.3,0.5,0.2,2.0
11,5,0.3,0.3,0.4,2.2
11,179,0.3,0.5,0.2,1.9
11,238,0.5,0.2,0.3,2.2
11,1186,0.3,0.3,0.4,2.1
11,600,0.5,0.2,0.3,2.1
11,584,0.6,0.1,0.3,2.2
11,947,0.1,0.7,0.2,1.8
11,1440,0.4,0.4,0.4,2.1
11,185,0.4,0.3,0.3,1.9
11,1112,0.4,0.4,0.4,1.8
11,200,0.2,0.6,0.2,2.1
11,1270,0.6,0.1,0.3,2.1
11,793,0.6,0.2,0.2,2.0
11,1014,0.7,0.2,0.1,1.9
11,524,0.3,0.3,0.4,2.1
11,31,0.6,0.3,0.1,2.1
11,1225,0.4,0.4,0.4,2.2
11,1429,0.3,0.3,0.4,2.0
11,580,0.1,0.6,0.3,1.8
11,895,0.6,0.1,0.3,1.9
11,976,0.1,0.6,0.3,1.9
11,445,0.1,0.6,0.3,2.2
11,25,0.1,0.7,0.2,2.2
11,265,0.2,0.7,0.1,2.0
11,1076,0.2,0.4,0.4,2.1
11,778,0.1,0.6,0.3,2.2
11,656,0.5,0.2,0.3,2.2
11,1326,0.2,0.7,0.1,2.1
11,760,0.4,0.4,0.4,2.2
12,39,0.3,0.3,0.4,1.9
12,705,0.3,0.3,0.4,2.2
12,138,0.6,0.1,0.3,1.8
12,596,0.4,0.2,0.4,1.8
12,1213,0.3,0.3,0.4,1.8
