population,row,column
1106.93069307,81.0,-29.0
235.0,81.0,-28.0
399.0,81.0,-27.0
549.494949495,81.0,-26.0
57.4257425743,81.0,-25.0
212.871287129,81.0,-24.0
81.0,81.0,-23.0
37.3737373737,81.0,-22.0
196.0,81.0,-21.0
48.5148514851,81.0,-20.0
98.0,81.0,-19.0
143.0,81.0,-18.0
153.0,81.0,-17.0
128.0,81.0,-16.0
116.831683168,81.0,-15.0
112.0,81.0,-14.0
205.050505051,81.0,-13.0
109.0,81.0,-12.0
1304.0,81.0,-11.0
1721.78217822,81.0,-10.0
1627.27272727,81.0,-9.0
100.0,81.0,-8.0
124.0,81.0,-7.0
288.0,81.0,-6.0
197.02970297,81.0,-5.0
1366.0,81.0,-4.0
301.0,81.0,-3.0
279.207920792,81.0,-2.0
137.373737374,81.0,-1.0
517.0,81.0,0.0
132.673267327,81.0,1.0
21.7821782178,81.0,2.0
121.212121212,81.0,3.0
139.393939394,81.0,4.0
96.0396039604,81.0,5.0
212.871287129,81.0,6.0
162.626262626,81.0,7.0
197.97979798,81.0,8.0
120.792079208,81.0,9.0
177.227722772,81.0,10.0
122.222222222,81.0,11.0
420.0,81.0,12.0
845.544554455,81.0,13.0
1960.0,81.0,14.0
2861.0,81.0,15.0
1514.14141414,81.0,16.0
2964.70588235,81.0,17.0
6838.0,81.0,18.0
16402.0,81.0,19.0
11264.2857143,81.0,20.0
411.764705882,81.0,21.0
151.485148515,81.0,22.0
70.0,81.0,23.0
73.7373737374,81.0,24.0
46.0,81.0,25.0
64.3564356436,81.0,26.0
143.564356436,81.0,27.0
256.565656566,81.0,28.0
422.0,81.0,29.0
325.0,81.0,30.0
185.148514851,81.0,31.0
79.0,81.0,32.0
68.6868686869,81.0,33.0
80.0,81.0,34.0
181.0,81.0,35.0
300.980392157,81.0,36.0
123.232323232,81.0,37.0
178.0,81.0,38.0
965.0,81.0,39.0
891.089108911,81.0,40.0
334.693877551,81.0,41.0
222.772277228,81.0,42.0
187.128712871,81.0,43.0
75.0,81.0,44.0
289.795918367,81.0,45.0
162.0,81.0,46.0
164.705882353,81.0,47.0
337.0,81.0,48.0
426.530612245,81.0,49.0
285.0,81.0,50.0
268.316831683,81.0,51.0
346.534653465,81.0,52.0
728.571428571,81.0,53.0
754.455445545,81.0,54.0
523.0,81.0,55.0
500.0,81.0,56.0
175.757575758,81.0,57.0
163.366336634,81.0,58.0
269.0,81.0,59.0
345.0,81.0,60.0
285.0,81.0,61.0
129.0,81.0,62.0
143.564356436,81.0,63.0
190.0,81.0,64.0
284.0,81.0,65.0
104.04040404,81.0,66.0
210.0,81.0,67.0
105.940594059,81.0,68.0
139.0,81.0,69.0
182.828282828,81.0,70.0
380.0,81.0,71.0
76.0,81.0,72.0
129.411764706,81.0,73.0
28.5714285714,81.0,74.0
65.0,81.0,75.0
34.0,81.0,76.0
424.509803922,81.0,77.0
236.363636364,81.0,78.0
1131.0,81.0,79.0
355.0,81.0,80.0
355.445544554,81.0,81.0
108.080808081,81.0,82.0
535.353535354,81.0,83.0
124.509803922,81.0,84.0
238.0,81.0,85.0
658.585858586,81.0,86.0
23.2323232323,81.0,87.0
62.3762376238,81.0,88.0
84.1584158416,81.0,89.0
144.444444444,81.0,90.0
278.217821782,81.0,91.0
216.0,81.0,92.0
87.0,81.0,93.0
